model,feature,coef,se,t,p
income only,intercept,0.4608235864924385,0.03592026216484341,12.829070800698801,0.0
income only,income_2017,0.08937459082683342,0.03592026216484341,2.4881386003442896,0.013404796515407602
naive (socioeconomic),intercept,0.4608235864924385,0.03559993081148098,12.944507924263236,0.0
naive (socioeconomic),income_2017,0.21069305753005446,0.06771864201885512,3.1113006883893286,0.0020502497959919985
naive (socioeconomic),median_home_value_2017,-0.1500100316938957,0.05718120437383529,-2.6234150423480167,0.009170749617492868
naive (socioeconomic),renter_pct_2017,0.015108023125648629,0.04623270167261267,0.3267821818554532,0.744070828154805
controlled (+ built environment),intercept,0.4608235864924385,0.03522492339932097,13.082316213108408,0.0
controlled (+ built environment),income_2017,0.22530943726214464,0.06741326836747842,3.342212041017709,0.0009421760361818521
controlled (+ built environment),median_home_value_2017,-0.13944910641655728,0.057268948074853214,-2.4349863425864,0.015505903171798785
controlled (+ built environment),renter_pct_2017,0.032080987247912016,0.04621843362706656,0.6941167134042523,0.48817440778912724
controlled (+ built environment),building_density,-0.08528658499786741,0.03893284163154285,-2.1906077600246214,0.029290120368266948
controlled (+ built environment),building_age,-0.1020997162598046,0.03980998293103945,-2.564676212915391,0.010839556692345154
+ event fixed effects,intercept,0.5442620001969194,0.19322596154736674,2.8167125982369656,0.0052019698499885525
+ event fixed effects,income_2017,0.056805113795621726,0.07278363210305346,0.7804654996495923,0.435785763105178
+ event fixed effects,median_home_value_2017,-0.038682316474341595,0.0638445080920486,-0.6058832252035037,0.5450902360754264
+ event fixed effects,renter_pct_2017,-0.0156080784573041,0.046439340366363956,-0.3360960412910826,0.7370538131681856
+ event fixed effects,building_density,-0.10321957111988485,0.03696000673167874,-2.792736805196912,0.005591903879343052
+ event fixed effects,building_age,-0.09555458350208444,0.03766676590847542,-2.5368406657016354,0.011736906431208505
+ event fixed effects,hurricane-harvey,0.32584681859081577,0.21807230140963893,1.4942146090288069,0.13626190785233105
+ event fixed effects,hurricane-michael,-0.023965589584357377,0.20426137828506752,-0.11732805185966659,0.906685430317558
+ event fixed effects,joplin-tornado,0.05313600915895494,0.22337676259613526,0.23787617181570822,0.8121536325344039
+ event fixed effects,midwest-flooding,-0.31618843902860055,0.2573566724621477,-1.2286001213941942,0.22026832904748184
+ event fixed effects,moore-tornado,-0.36723569681563484,0.21868370076221588,-1.6793007230792472,0.09422508254216888
+ event fixed effects,santa-rosa-wildfire,-0.352417414143922,0.2092070640543005,-1.684538788099673,0.09320800758299219
+ event fixed effects,socal-fire,-0.3359957495595171,0.2705061830249236,-1.2421000725464362,0.2152540341692355
+ event fixed effects,tuscaloosa-tornado,-0.19341334014043296,0.2284331912732759,-0.8466954345047498,0.39789844268942387
+ event fixed effects,woolsey-fire,-0.17184142626208776,0.6407035713282534,-0.2682073800616413,0.7887400408155054
