GEOID,building_count,damage_score_mean,damage_score_std,share_no-damage,share_minor-damage,share_major-damage,share_destroyed,income_2017,pov_rate_2017,median_home_value_2017,renter_pct_2017,median_year_built_2017,pop_density_2017,exposure_proxy,building_density,median_building_age,building_age,income_q
11250105001,648,0.1157407407407407,0.4312367542834108,0.9151234567901234,0.0648148148148148,0.0092592592592592,0.0108024691358024,28750,,69700,0.2742268041237113,1961,1331,0.0,1.331,59,56,Q1 lowest
11250105002,253,0.1027667984189723,0.4933207175072339,0.9486166007905138,0.0237154150197628,0.0039525691699604,0.0237154150197628,35347,,56900,0.2516778523489933,1964,883,0.0,0.883,56,53,Q1 lowest
11250106012,260,0.0384615384615384,0.2455423798269054,0.9692307692307692,0.0269230769230769,0.0,0.0038461538461538,46853,,123400,0.1867124856815578,1995,2535,0.0,2.535,25,22,Q2
11250106013,904,0.6858407079646017,1.1318302003856078,0.6847345132743363,0.1061946902654867,0.0475663716814159,0.161504424778761,39375,,67700,0.1002949852507374,1993,1136,0.0,1.136,27,24,Q1 lowest
11250108031,765,1.2183006535947711,1.2885641745765672,0.4405228758169934,0.2039215686274509,0.0522875816993464,0.3032679738562091,18026,,84200,0.5883534136546185,1983,1496,0.0,1.496,37,34,Q1 lowest
11250108032,270,0.0259259259259259,0.1592094610417325,0.974074074074074,0.0259259259259259,0.0,0.0,50288,,208000,0.7308347529812607,1992,1539,0.0,1.539,28,25,Q2
11250108041,41,0.0,0.0,1.0,0.0,0.0,0.0,47829,,123500,0.1924603174603174,1973,1315,0.0,1.315,47,44,Q2
11250112001,36,0.0,0.0,1.0,0.0,0.0,0.0,25833,,292900,0.8580246913580247,1991,7307,0.0,7.307,29,26,Q1 lowest
11250114011,75,0.0,0.0,1.0,0.0,0.0,0.0,29597,,343200,0.4831932773109244,1964,438,0.0,0.438,56,53,Q1 lowest
11250114013,149,0.0,0.0,1.0,0.0,0.0,0.0,5379,,178800,0.8697916666666666,1993,1399,0.0,1.399,27,24,Q1 lowest
11250119011,367,0.4604904632152589,0.7843710921207537,0.6811989100817438,0.217983651226158,0.0599455040871934,0.0408719346049046,24135,,227100,0.7934386391251519,1986,1614,0.0,1.614,34,31,Q1 lowest
11250119012,130,1.0692307692307692,1.3129554892970945,0.5307692307692308,0.1615384615384615,0.0153846153846153,0.2923076923076923,65694,,156500,0.5615763546798029,1956,492,0.0,0.492,64,61,Q3
11250119013,221,0.1221719457013574,0.3674318580366812,0.8868778280542986,0.1085972850678733,0.0,0.004524886877828,33217,,97400,0.8540925266903915,1961,781,0.0,0.781,59,56,Q1 lowest
11250119021,45,0.0,0.0,1.0,0.0,0.0,0.0,14138,,136100,0.85,2003,899,0.0,0.899,17,14,Q1 lowest
