disaster,no-damage,minor-damage,major-damage,destroyed,un-classified
guatemala-volcano,73.76,2.62,2.32,3.33,17.96
sunda-tsunami,83.07,0.0,0.59,1.06,15.28
palu-tsunami,83.88,0.0,2.11,12.91,1.1
nepal-flooding,72.17,11.87,10.91,1.16,3.89
tuscaloosa-tornado,69.97,13.57,3.11,7.31,6.05
midwest-flooding,92.25,1.77,1.39,1.19,3.4
mexico-earthquake,99.24,0.43,0.1,0.01,0.22
moore-tornado,84.73,3.86,1.96,6.9,2.55
joplin-tornado,53.58,14.28,6.55,21.33,4.27
hurricane-michael,63.92,23.36,8.22,3.45,1.05
hurricane-matthew,16.93,51.46,11.34,14.71,5.57
hurricane-harvey,49.11,11.88,35.25,2.23,1.53
hurricane-florence,73.31,2.01,16.88,0.7,7.1
lower-puna-volcano,66.77,1.44,0.76,14.78,16.25
pinery-bushfire,84.33,1.38,1.66,3.84,8.79
portugal-wildfire,88.78,0.75,1.26,4.66,4.54
santa-rosa-wildfire,72.16,0.55,0.43,26.46,0.39
socal-fire,82.75,0.72,0.58,12.3,3.65
woolsey-fire,66.12,2.69,1.8,26.74,2.65
