a,b,split_a,split_b,bits
midwest-flooding_00000218,tuscaloosa-tornado_00000135,test_id,val,5
palu-tsunami_00000046,hurricane-harvey_00000043,test_id,train,6
portugal-wildfire_00001418,nepal-flooding_00000208,test_ood,train,6
portugal-wildfire_00001418,hurricane-harvey_00000043,test_ood,train,6
portugal-wildfire_00001418,sunda-tsunami_00000093,test_ood,val,5
portugal-wildfire_00001418,palu-tsunami_00000099,test_ood,val,5
portugal-wildfire_00001418,moore-tornado_00000197,test_ood,val,5
nepal-flooding_00000208,hurricane-harvey_00000055,train,train,3
nepal-flooding_00000208,hurricane-harvey_00000043,train,train,4
nepal-flooding_00000208,sunda-tsunami_00000141,train,train,6
nepal-flooding_00000208,sunda-tsunami_00000093,train,val,3
nepal-flooding_00000208,palu-tsunami_00000099,train,val,3
nepal-flooding_00000208,moore-tornado_00000197,train,val,3
hurricane-harvey_00000055,hurricane-harvey_00000043,train,train,3
hurricane-harvey_00000055,sunda-tsunami_00000141,train,train,5
hurricane-harvey_00000055,sunda-tsunami_00000093,train,val,2
hurricane-harvey_00000055,palu-tsunami_00000099,train,val,2
hurricane-harvey_00000055,moore-tornado_00000197,train,val,2
hurricane-harvey_00000043,sunda-tsunami_00000141,train,train,4
hurricane-harvey_00000043,sunda-tsunami_00000093,train,val,1
hurricane-harvey_00000043,palu-tsunami_00000099,train,val,1
hurricane-harvey_00000043,moore-tornado_00000197,train,val,1
sunda-tsunami_00000141,sunda-tsunami_00000093,train,val,3
sunda-tsunami_00000141,palu-tsunami_00000099,train,val,3
sunda-tsunami_00000141,moore-tornado_00000197,train,val,3
sunda-tsunami_00000093,palu-tsunami_00000099,val,val,0
sunda-tsunami_00000093,moore-tornado_00000197,val,val,0
palu-tsunami_00000099,moore-tornado_00000197,val,val,0
