scene_id,disaster,split,unc_frac,occ_score,occlusion_flag
guatemala-volcano_00000017,guatemala-volcano,val,0.0,-0.06754732606999925,False
guatemala-volcano_00000025,guatemala-volcano,train,0.8656716417910447,-0.39029315133475195,False
hurricane-florence_00000002,hurricane-florence,train,,-0.4116414473551598,False
hurricane-florence_00000004,hurricane-florence,test_id,1.0,-0.42168051629081565,False
hurricane-florence_00000005,hurricane-florence,test_id,0.45454545454545453,-0.5700408881650412,False
hurricane-florence_00000009,hurricane-florence,test_id,0.5958188153310104,-0.20188225066800833,False
hurricane-florence_00000011,hurricane-florence,test_id,0.3958333333333333,0.12205942606292966,False
hurricane-florence_00000017,hurricane-florence,test_id,0.3105590062111801,-0.44853304167518915,False
hurricane-florence_00000026,hurricane-florence,val,0.03571428571428571,-0.06479506978584154,False
hurricane-florence_00000028,hurricane-florence,train,0.36470588235294116,-0.37626048678522916,False
hurricane-florence_00000029,hurricane-florence,test_id,,0.21569832298024677,False
hurricane-florence_00000035,hurricane-florence,test_id,0.2631578947368421,0.15858599961551204,False
hurricane-florence_00000042,hurricane-florence,val,0.15,-0.1522191140564245,False
hurricane-florence_00000046,hurricane-florence,test_id,0.0,-0.9430145616733256,False
hurricane-florence_00000058,hurricane-florence,train,,0.025463400360926938,False
hurricane-florence_00000066,hurricane-florence,train,0.2727272727272727,-0.06791478688789776,False
hurricane-florence_00000068,hurricane-florence,test_id,0.7272727272727273,0.01880478544670866,False
hurricane-florence_00000079,hurricane-florence,val,0.2727272727272727,0.09869573611581209,False
hurricane-florence_00000083,hurricane-florence,val,,0.17445727962645008,False
hurricane-florence_00000089,hurricane-florence,test_id,0.0,0.24183905886105256,False
hurricane-florence_00000099,hurricane-florence,train,0.21739130434782608,0.16267428871352035,False
hurricane-florence_00000107,hurricane-florence,test_id,,-0.1441041721232142,False
hurricane-florence_00000116,hurricane-florence,test_id,,-0.2823532054602331,False
hurricane-florence_00000118,hurricane-florence,train,0.21428571428571427,0.15290500722048225,False
hurricane-florence_00000137,hurricane-florence,test_id,,0.9550376981819908,False
hurricane-florence_00000156,hurricane-florence,val,,0.08191750485002311,False
hurricane-florence_00000163,hurricane-florence,val,,0.009712670079787463,False
hurricane-florence_00000164,hurricane-florence,train,1.0,-0.10681789342997922,False
hurricane-florence_00000165,hurricane-florence,train,0.5384615384615384,-0.003643478765945868,False
hurricane-florence_00000172,hurricane-florence,test_id,,0.18632755295706055,False
hurricane-florence_00000175,hurricane-florence,test_id,,-0.3135232227241958,False
hurricane-florence_00000185,hurricane-florence,train,0.04,-0.22050906016558713,False
hurricane-florence_00000196,hurricane-florence,test_id,0.046296296296296294,-0.12513990746477907,False
hurricane-florence_00000202,hurricane-florence,test_id,0.16666666666666666,0.024919514720385547,False
hurricane-florence_00000213,hurricane-florence,test_id,0.16666666666666666,-0.0012130178196689406,False
hurricane-florence_00000223,hurricane-florence,test_id,0.0,-0.32895422999248075,False
