disaster,split,eligible_%,selected_%,abs_drift_pp
guatemala-volcano,train,0.5,0.5,0.0
hurricane-florence,train,8.6,8.6,0.0
hurricane-harvey,train,9.8,9.8,0.0
hurricane-matthew,train,7.1,7.1,0.0
hurricane-michael,train,11.7,11.8,0.1
joplin-tornado,train,5.3,5.2,0.1
lower-puna-volcano,train,4.5,4.5,0.0
mexico-earthquake,train,4.4,4.4,0.0
midwest-flooding,train,6.7,6.6,0.1
moore-tornado,train,7.7,7.8,0.1
nepal-flooding,train,17.8,17.9,0.1
palu-tsunami,train,4.1,4.1,0.0
sunda-tsunami,train,3.2,3.1,0.1
tuscaloosa-tornado,train,8.6,8.6,0.0
guatemala-volcano,val,0.7,0.5,0.2
hurricane-florence,val,9.9,10.0,0.1
hurricane-harvey,val,9.9,10.0,0.1
hurricane-matthew,val,5.8,6.0,0.2
hurricane-michael,val,12.3,12.5,0.2
joplin-tornado,val,5.8,6.0,0.2
lower-puna-volcano,val,5.1,5.0,0.1
mexico-earthquake,val,4.4,4.0,0.4
midwest-flooding,val,6.8,7.0,0.2
moore-tornado,val,7.5,7.5,0.0
nepal-flooding,val,16.7,16.5,0.2
palu-tsunami,val,4.1,4.0,0.1
sunda-tsunami,val,3.8,4.0,0.2
tuscaloosa-tornado,val,7.2,7.0,0.2
guatemala-volcano,test_id,0.7,0.7,0.0
hurricane-florence,test_id,17.5,17.4,0.1
hurricane-harvey,test_id,18.6,18.7,0.1
hurricane-matthew,test_id,14.9,15.1,0.2
hurricane-michael,test_id,20.3,20.4,0.1
mexico-earthquake,test_id,7.8,7.7,0.1
midwest-flooding,test_id,11.4,11.4,0.0
palu-tsunami,test_id,8.8,8.7,0.1
pinery-bushfire,test_ood,12.2,12.3,0.1
portugal-wildfire,test_ood,33.3,33.3,0.0
santa-rosa-wildfire,test_ood,16.0,16.0,0.0
socal-fire,test_ood,24.6,24.6,0.0
woolsey-fire,test_ood,13.9,13.8,0.1
