scene_id,disaster,origin,split,n_usable,img_pre,img_post,lab_post
guatemala-volcano_00000004,guatemala-volcano,hold,test_id,20,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\guatemala-volcano_00000004_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\guatemala-volcano_00000004_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\guatemala-volcano_00000004_post_disaster.json
guatemala-volcano_00000012,guatemala-volcano,hold,test_id,30,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\guatemala-volcano_00000012_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\guatemala-volcano_00000012_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\guatemala-volcano_00000012_post_disaster.json
hurricane-florence_00000007,hurricane-florence,test,test_id,15,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000007_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000007_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000007_post_disaster.json
hurricane-florence_00000019,hurricane-florence,test,test_id,154,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000019_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000019_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000019_post_disaster.json
hurricane-florence_00000033,hurricane-florence,hold,test_id,120,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000033_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000033_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000033_post_disaster.json
hurricane-florence_00000034,hurricane-florence,hold,test_id,21,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000034_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000034_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000034_post_disaster.json
hurricane-florence_00000040,hurricane-florence,hold,test_id,7,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000040_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000040_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000040_post_disaster.json
hurricane-florence_00000041,hurricane-florence,hold,test_id,7,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000041_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000041_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000041_post_disaster.json
hurricane-florence_00000047,hurricane-florence,hold,test_id,19,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000047_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000047_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000047_post_disaster.json
hurricane-florence_00000050,hurricane-florence,hold,test_id,8,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000050_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000050_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000050_post_disaster.json
hurricane-florence_00000077,hurricane-florence,test,test_id,32,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000077_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000077_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000077_post_disaster.json
hurricane-florence_00000087,hurricane-florence,test,test_id,58,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000087_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000087_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000087_post_disaster.json
hurricane-florence_00000090,hurricane-florence,hold,test_id,5,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000090_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000090_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000090_post_disaster.json
hurricane-florence_00000097,hurricane-florence,hold,test_id,17,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000097_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000097_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000097_post_disaster.json
hurricane-florence_00000107,hurricane-florence,hold,test_id,8,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000107_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000107_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000107_post_disaster.json
