scene_id,disaster,split,size,mode,brightness,contrast,dark_fraction,bright_fraction,edge_density,flag
hurricane-florence_00000004,hurricane-florence,test_id,1024x1024,RGB,0.27850074,0.23979314,0.09297370910644531,0.0,2.9655749797821045,False
hurricane-florence_00000005,hurricane-florence,test_id,1024x1024,RGB,0.29367957,0.1810428,0.0038614273071289062,7.43865966796875e-05,5.286892890930176,False
hurricane-florence_00000009,hurricane-florence,test_id,1024x1024,RGB,0.4927218,0.2614185,2.86102294921875e-06,0.00041961669921875,4.203038215637207,False
hurricane-florence_00000011,hurricane-florence,test_id,1024x1024,RGB,0.4632875,0.1678893,1.239776611328125e-05,0.0009050369262695312,5.455077171325684,False
hurricane-florence_00000017,hurricane-florence,test_id,1024x1024,RGB,0.17766097,0.14889738,0.00189208984375,1.239776611328125e-05,6.787408351898193,False
hurricane-florence_00000035,hurricane-florence,test_id,1024x1024,RGB,0.10017183,0.07181007,0.28755950927734375,8.869171142578125e-05,5.200499534606934,False
hurricane-florence_00000050,hurricane-florence,test_id,1024x1024,RGB,0.1902423,0.07844271,0.0,0.0043430328369140625,6.695025444030762,False
hurricane-florence_00000056,hurricane-florence,test_id,1024x1024,RGB,0.27850664,0.08161999,0.0,0.0,6.135154724121094,False
hurricane-florence_00000068,hurricane-florence,test_id,1024x1024,RGB,0.19536817,0.09400331,0.0,0.0,6.093792915344238,False
hurricane-florence_00000076,hurricane-florence,test_id,1024x1024,RGB,0.15093017,0.07089429,0.0,0.00011348724365234375,4.439262390136719,False
hurricane-florence_00000137,hurricane-florence,test_id,1024x1024,RGB,0.2111025,0.034296364,1.9073486328125e-06,3.147125244140625e-05,10.960415840148926,False
hurricane-florence_00000187,hurricane-florence,test_id,1024x1024,RGB,0.32606342,0.1145663,1.9073486328125e-06,0.0010042190551757812,6.338568687438965,False
hurricane-florence_00000202,hurricane-florence,test_id,1024x1024,RGB,0.2944033,0.10318773,0.0,3.814697265625e-06,5.4673027992248535,False
hurricane-florence_00000209,hurricane-florence,test_id,1024x1024,RGB,0.16885483,0.04562436,9.5367431640625e-07,7.62939453125e-05,7.92549991607666,False
hurricane-florence_00000248,hurricane-florence,test_id,1024x1024,RGB,0.23119518,0.08993933,0.0,0.0014543533325195312,6.235012531280518,False
hurricane-florence_00000307,hurricane-florence,test_id,1024x1024,RGB,0.1566054,0.044971723,0.0,0.00015163421630859375,5.628931045532227,False
hurricane-florence_00000352,hurricane-florence,test_id,1024x1024,RGB,0.331465,0.14846246,2.002716064453125e-05,0.0007410049438476562,7.075394630432129,False
hurricane-florence_00000364,hurricane-florence,test_id,1024x1024,RGB,0.34200272,0.116658516,0.0,7.534027099609375e-05,6.4857916831970215,False
hurricane-florence_00000491,hurricane-florence,test_id,1024x1024,RGB,0.24397014,0.05765653,0.0,4.00543212890625e-05,8.489873886108398,False
hurricane-florence_00000499,hurricane-florence,test_id,1024x1024,RGB,0.1343395,0.061467588,9.1552734375e-05,2.574920654296875e-05,8.854623794555664,False
hurricane-florence_00000505,hurricane-florence,test_id,1024x1024,RGB,0.19938953,0.061330028,0.0,0.0003223419189453125,8.227561950683594,False
hurricane-harvey_00000036,hurricane-harvey,test_id,1024x1024,RGB,0.23380032,0.21192835,0.3509864807128906,3.528594970703125e-05,3.96490216255188,False
hurricane-harvey_00000038,hurricane-harvey,test_id,1024x1024,RGB,0.27576977,0.0915461,0.0,0.0,5.590236663818359,False
