scene_a,scene_b,split_a,split_b,hamming
socal-fire_00000248,woolsey-fire_00000849,test_ood,test_ood,6
socal-fire_00000251,joplin-tornado_00000013,test_ood,train,5
socal-fire_00000251,lower-puna-volcano_00000235,test_ood,train,6
socal-fire_00000251,moore-tornado_00000087,test_ood,train,5
socal-fire_00000251,nepal-flooding_00000059,test_ood,train,6
socal-fire_00000251,tuscaloosa-tornado_00000084,test_ood,train,6
socal-fire_00000319,joplin-tornado_00000013,test_ood,train,6
socal-fire_00000319,moore-tornado_00000087,test_ood,train,6
socal-fire_00000319,tuscaloosa-tornado_00000084,test_ood,train,5
socal-fire_00000369,woolsey-fire_00000313,test_ood,test_ood,5
socal-fire_00000771,woolsey-fire_00000296,test_ood,test_ood,3
socal-fire_00000819,woolsey-fire_00000422,test_ood,test_ood,6
socal-fire_00000861,woolsey-fire_00000692,test_ood,test_ood,5
joplin-tornado_00000013,lower-puna-volcano_00000096,train,train,2
joplin-tornado_00000013,lower-puna-volcano_00000235,train,train,3
joplin-tornado_00000013,moore-tornado_00000087,train,train,0
joplin-tornado_00000013,nepal-flooding_00000059,train,train,5
joplin-tornado_00000013,tuscaloosa-tornado_00000084,train,train,5
lower-puna-volcano_00000096,lower-puna-volcano_00000235,train,train,5
lower-puna-volcano_00000096,moore-tornado_00000087,train,train,2
lower-puna-volcano_00000235,moore-tornado_00000087,train,train,3
lower-puna-volcano_00000235,nepal-flooding_00000059,train,train,6
lower-puna-volcano_00000235,tuscaloosa-tornado_00000084,train,train,6
moore-tornado_00000087,nepal-flooding_00000059,train,train,5
moore-tornado_00000087,tuscaloosa-tornado_00000084,train,train,5
nepal-flooding_00000059,tuscaloosa-tornado_00000084,train,train,6
tuscaloosa-tornado_00000084,tuscaloosa-tornado_00000094,train,train,6
