scene_id,disaster,origin,split,is_fire,indexed_files,existing_files,complete_on_disk,one_split_only,image_label_roles_present
guatemala-volcano_00000003,guatemala-volcano,test,test_id,False,7,7,True,True,True
guatemala-volcano_00000004,guatemala-volcano,hold,test_id,False,7,7,True,True,True
guatemala-volcano_00000005,guatemala-volcano,test,test_id,False,7,7,True,True,True
guatemala-volcano_00000009,guatemala-volcano,test,test_id,False,7,7,True,True,True
guatemala-volcano_00000011,guatemala-volcano,test,test_id,False,7,7,True,True,True
guatemala-volcano_00000012,guatemala-volcano,hold,test_id,False,7,7,True,True,True
guatemala-volcano_00000014,guatemala-volcano,hold,test_id,False,7,7,True,True,True
guatemala-volcano_00000020,guatemala-volcano,hold,test_id,False,7,7,True,True,True
guatemala-volcano_00000021,guatemala-volcano,test,test_id,False,7,7,True,True,True
guatemala-volcano_00000022,guatemala-volcano,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000004,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000005,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000006,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000007,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000009,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000010,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000011,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000013,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000014,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000017,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000019,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000021,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000025,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000029,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000033,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000034,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000035,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000038,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000039,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000040,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000041,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000046,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000047,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000050,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000052,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000056,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000068,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000071,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000074,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000076,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000077,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000081,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000082,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000087,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000089,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000090,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000092,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000095,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000097,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000098,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000105,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000107,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000108,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000109,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000112,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000113,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000116,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000117,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000119,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000121,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000124,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000125,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000127,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000128,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000129,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000130,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000131,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000133,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000134,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000135,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000137,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000141,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000143,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000145,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000150,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000152,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000154,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000155,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000157,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000160,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000161,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000162,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000167,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000169,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000170,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000171,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000172,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000173,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000175,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000176,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000177,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000179,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000182,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000184,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000186,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000187,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000196,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000197,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000198,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000200,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000201,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000202,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000204,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000205,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000206,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000207,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000208,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000209,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000211,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000213,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000214,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000215,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000220,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000223,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000225,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000227,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000228,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000230,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000234,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000235,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000236,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000238,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000239,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000240,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000241,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000243,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000246,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000248,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000249,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000250,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000253,hurricane-florence,test,test_id,False,7,7,True,True,True
hurricane-florence_00000254,hurricane-florence,hold,test_id,False,7,7,True,True,True
hurricane-florence_00000257,hurricane-florence,hold,test_id,False,7,7,True,True,True
