split,class,precision,recall,f1,support
val,no-damage,0.922,0.904,0.913,15701
val,minor-damage,0.547,0.523,0.535,2571
val,major-damage,0.448,0.517,0.48,1164
val,destroyed,0.663,0.823,0.734,1010
test_id,no-damage,0.922,0.885,0.903,20500
test_id,minor-damage,0.455,0.509,0.48,2840
test_id,major-damage,0.507,0.553,0.529,2512
test_id,destroyed,0.635,0.749,0.687,1421
test_ood,no-damage,0.966,0.805,0.878,12056
test_ood,minor-damage,0.02,0.284,0.038,116
test_ood,major-damage,0.024,0.203,0.043,138
test_ood,destroyed,0.872,0.67,0.758,2317
